revision id, username, article size after edit (bytes),change in article size from edit (bytes), time of edit (seconds from first edit),time since last edit (seconds), URL to view diff, comments associated with edit,,,,,,,,,,,,,,,,,
167949747,71.252.238.24,32852,4,169569680,1348,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=167949747&oldid=167944710,/* 2007 outbreak in DRC */,,,,,,,,,,,,,,,,,
167950121,Martial75,32848,-4,169569777,97,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=167950121&oldid=167949747,Reverted 1 edit by [[Special:Contributions/71.252.238.24|71.252.238.24]] identified as [[WP:VAND|vandalism]] to last revision by [[User:Ohnoitsjamie|Ohnoitsjamie]].,,,,,,,,,,,,,,,,,
168012250,Waterpolo379,23,-32825,169589868,20091,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168012250&oldid=167950121,[[WP:AES|←]]Replaced page with 'This isnt real all lies',,,,,,,,,,,,,,,,,
168012271,ClueBot,32848,32825,169589877,9,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168012271&oldid=168012250,Reverting possible vandalism by [[Special:Contributions/Waterpolo379]] to version by Martial75.  If this is a mistake, [[User:ClueBot/FalsePositives|report it]].  Thanks, [[User:ClueBot|ClueBot]]. (47399) (Bot),,,,,,,,,,,,,,,
168164344,68.193.102.121,32855,7,169650961,61084,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168164344&oldid=168012271,/* Overview */,,,,,,,,,,,,,,,,,
168164665,68.193.102.121,32940,85,169651052,91,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168164665&oldid=168164344,/* Overview */,,,,,,,,,,,,,,,,,
168166493,67.191.188.178,32848,-92,169651585,533,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168166493&oldid=168164665,Reverting vandalism,,,,,,,,,,,,,,,,,
168196027,65.78.15.25,32890,42,169660476,8891,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168196027&oldid=168166493,/* Overview */,,,,,,,,,,,,,,,,,
168269165,Lavateraguy,32848,-42,169695603,35127,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168269165&oldid=168196027,[[WP:UNDO|Undid]] revision 168196027 by [[Special:Contributions/65.78.15.25|65.78.15.25]] ([[User talk:65.78.15.25|talk]]) removing stray text,,,,,,,,,,,,,,,,,
168289797,Nippp,32847,-1,169706953,11350,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168289797&oldid=168269165,/* Treatments */,,,,,,,,,,,,,,,,,
168585954,65.117.144.103,32884,37,169823122,116169,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168585954&oldid=168289797,/* Overview */,,,,,,,,,,,,,,,,,
168586060,Oxymoron83,32847,-37,169823152,30,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168586060&oldid=168585954,Reverted edits by [[Special:Contributions/65.117.144.103|65.117.144.103]] ([[User talk:65.117.144.103|talk]]) to last version by Nippp,,,,,,,,,,,,,,,,,
168587615,65.117.144.103,32448,-399,169823605,453,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168587615&oldid=168586060,/* Etymology */,,,,,,,,,,,,,,,,,
168588216,Oxymoron83,32847,399,169823778,173,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168588216&oldid=168587615,Reverted edits by [[Special:Contributions/65.117.144.103|65.117.144.103]] ([[User talk:65.117.144.103|talk]]) to last version by Oxymoron83,,,,,,,,,,,,,,,,,
168631541,66.121.10.2,32852,5,169836611,12833,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168631541&oldid=168588216,,,,,,,,,,,,,,,,,,
168665171,69.107.112.2,32862,10,169849284,12673,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168665171&oldid=168631541,,,,,,,,,,,,,,,,,,
168665564,Lyonspen,32847,-15,169849474,190,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168665564&oldid=168665171,revert vandalism,,,,,,,,,,,,,,,,,
168698750,87.224.72.79,32980,133,169869805,20331,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168698750&oldid=168665564,/* Etymology */,,,,,,,,,,,,,,,,,
168717354,84.92.79.234,33066,86,169881126,11321,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168717354&oldid=168698750,/* Etymology */,,,,,,,,,,,,,,,,,
168717441,84.92.79.234,33060,-6,169881167,41,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168717441&oldid=168717354,/* Etymology */,,,,,,,,,,,,,,,,,
168718178,Old Moonraker,32847,-213,169881487,320,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168718178&oldid=168717441,RV multiple V,,,,,,,,,,,,,,,,,
168742704,130.184.236.13,32855,8,169889378,7891,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=168742704&oldid=168718178,,,,,,,,,,,,,,,,,,
169098922,67.9.143.53,32913,58,170024949,135571,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169098922&oldid=168742704,/* Reston ebolavirus */,,,,,,,,,,,,,,,,,
169099385,67.9.143.53,33156,243,170025169,220,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169099385&oldid=169098922,/* Symptoms */,,,,,,,,,,,,,,,,,
169100018,67.9.143.53,33494,338,170025472,303,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169100018&oldid=169099385,/* Vaccines */,,,,,,,,,,,,,,,,,
169140794,81.109.157.172,33506,12,170051109,25637,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169140794&oldid=169100018,/* Vaccines */  Minor grammatical changes.,,,,,,,,,,,,,,,,,
169140836,81.109.157.172,33507,1,170051128,19,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169140836&oldid=169140794,/* Vaccines */,,,,,,,,,,,,,,,,,
169157957,SmackBot,33526,19,170058713,7585,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169157957&oldid=169140836,Date/fix the maintenance tags or gen fixes  using [[Project:AutoWikiBrowser|AWB]],,,,,,,,,,,,,,,,,
169167200,64.135.202.210,32215,-1311,170061309,2596,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169167200&oldid=169157957,/* Size and shape */,,,,,,,,,,,,,,,,,
169167330,OwenX,33526,1311,170061348,39,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169167330&oldid=169167200,Reverted edits by [[Special:Contributions/64.135.202.210|64.135.202.210]] ([[User talk:64.135.202.210|talk]]) to last version by SmackBot,,,,,,,,,,,,,,,,,
169595662,207.28.62.253,33559,33,170228888,167540,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169595662&oldid=169167330,/* Treatments */,,,,,,,,,,,,,,,,,
169595682,ClueBot,33526,-33,170228899,11,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169595682&oldid=169595662,Reverting possible vandalism by [[Special:Contributions/207.28.62.253]] to version by OwenX.  If this is a mistake, [[User:ClueBot/FalsePositives|report it]].  Thanks, [[User:ClueBot|ClueBot]]. (58186) (Bot),,,,,,,,,,,,,,,
169602020,69.89.108.5,33563,37,170231514,2615,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169602020&oldid=169595682,/* Vaccines */,,,,,,,,,,,,,,,,,
169602161,69.89.108.5,33570,7,170231566,52,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169602161&oldid=169602020,/* Overview */,,,,,,,,,,,,,,,,,
169602415,69.89.108.5,33572,2,170231670,104,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169602415&oldid=169602161,/* Structure */,,,,,,,,,,,,,,,,,
169602499,Eric Sellars,33570,-2,170231701,31,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169602499&oldid=169602415,[[WP:UNDO|Undid]] revision 169602415 by [[Special:Contributions/69.89.108.5|69.89.108.5]] ([[User talk:69.89.108.5|talk]]),,,,,,,,,,,,,,,,,
169616263,Lavateraguy,33526,-44,170236590,4889,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169616263&oldid=169602499,rv - back to last unvandalised copy,,,,,,,,,,,,,,,,,
169636819,Indians99,33299,-227,170242955,6365,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169636819&oldid=169616263,,,,,,,,,,,,,,,,,,
169637242,65.183.69.208,33353,54,170243081,126,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169637242&oldid=169636819,/* Zaïre ebolavirus */,,,,,,,,,,,,,,,,,
169637435,TeaDrinker,33526,173,170243138,57,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169637435&oldid=169637242,Reverted to revision 169616263 by [[Special:Contributions/Lavateraguy|Lavateraguy]]; vandalism. using [[WP:TW|TW]],,,,,,,,,,,,,,,,,
169637523,Indians99,33566,40,170243162,24,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169637523&oldid=169637435,,,,,,,,,,,,,,,,,,
169637565,ClueBot,33526,-40,170243174,12,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169637565&oldid=169637523,Reverting possible vandalism by [[Special:Contributions/Indians99]] to version by TeaDrinker.  If this is a mistake, [[User:ClueBot/FalsePositives|report it]].  Thanks, [[User:ClueBot|ClueBot]]. (58722) (Bot),,,,,,,,,,,,,,,
169637618,65.183.69.208,33573,47,170243189,15,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169637618&oldid=169637565,/* Zaïre ebolavirus */,,,,,,,,,,,,,,,,,
169637875,Old Moonraker,33526,-47,170243270,81,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169637875&oldid=169637618,[[WP:UNDO|Undid]] revision 169637618 by [[Special:Contributions/65.183.69.208|65.183.69.208]] ([[User talk:65.183.69.208|talk]]),,,,,,,,,,,,,,,,,
169638309,65.183.69.208,32484,-1042,170243411,141,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169638309&oldid=169637875,/* Reston ebolavirus */,,,,,,,,,,,,,,,,,
169638391,CounterVandalismBot,33526,1042,170243433,22,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=169638391&oldid=169638309,Automatically reverting possible vandalism by [[Special:Contributions/65.183.69.208|65.183.69.208]] to last good revision by [[User:Old Moonraker|Old Moonraker]],,,,,,,,,,,,,,,,,
170112484,137.90.207.124,33589,63,170409057,165624,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170112484&oldid=169638391,/* Etymology */,,,,,,,,,,,,,,,,,
170112514,ClueBot,33526,-63,170409066,9,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170112514&oldid=170112484,Reverting possible vandalism by [[Special:Contributions/137.90.207.124]] to version by CounterVandalismBot.  If this is a mistake, [[User:ClueBot/FalsePositives|report it]].  Thanks, [[User:ClueBot|ClueBot]]. (63140) (Bot),,,,,,,,,,,,,,,
170112718,137.90.207.124,33538,12,170409134,68,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170112718&oldid=170112514,/* Etymology */,,,,,,,,,,,,,,,,,
170112765,Aksi great,33526,-12,170409152,18,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170112765&oldid=170112718,Reverted edits by [[Special:Contributions/137.90.207.124|137.90.207.124]] ([[User talk:137.90.207.124|talk]]) to last version by ClueBot,,,,,,,,,,,,,,,,,
170122137,72.93.244.66,33535,9,170412143,2991,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170122137&oldid=170112765,/* Symptoms */,,,,,,,,,,,,,,,,,
170122319,Barneca,33526,-9,170412196,53,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170122319&oldid=170122137,[[WP:UNDO|Undid]] revision 170122137 by [[Special:Contributions/72.93.244.66|72.93.244.66]] ([[User talk:72.93.244.66|talk]]) rvv,,,,,,,,,,,,,,,,,
170122429,72.93.244.66,33551,25,170412228,32,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170122429&oldid=170122319,/* Symptoms */,,,,,,,,,,,,,,,,,
170122452,72.93.244.66,33565,14,170412235,7,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170122452&oldid=170122429,/* Transmission */,,,,,,,,,,,,,,,,,
170122916,Barneca,33526,-39,170412381,146,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170122916&oldid=170122452,rvv to prev version by me,,,,,,,,,,,,,,,,,
170152871,164.116.71.79,33798,272,170421495,9114,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170152871&oldid=170122916,/* Overview */,,,,,,,,,,,,,,,,,
170153155,Barneca,33526,-272,170421588,93,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170153155&oldid=170152871,[[WP:UNDO|Undid]] revision 170152871 by [[Special:Contributions/164.116.71.79|164.116.71.79]] ([[User talk:164.116.71.79|talk]]) rvv,,,,,,,,,,,,,,,,,
170156727,198.108.222.3,33544,18,170422678,1090,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170156727&oldid=170153155,,,,,,,,,,,,,,,,,,
170156772,ClueBot,33526,-18,170422688,10,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170156772&oldid=170156727,Reverting possible vandalism by [[Special:Contributions/198.108.222.3]] to version by Barneca.  If this is a mistake, [[User:ClueBot/FalsePositives|report it]].  Thanks, [[User:ClueBot|ClueBot]]. (63698) (Bot),,,,,,,,,,,,,,,
170175619,75.185.144.241,31762,-1764,170428081,5393,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170175619&oldid=170156772,/* Overview */,,,,,,,,,,,,,,,,,
170175674,Tiptoety,33526,1764,170428097,16,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170175674&oldid=170175619,Reverted 1 edit by [[Special:Contributions/75.185.144.241|75.185.144.241]] identified as [[WP:VAND|vandalism]] to last revision by [[User:ClueBot|ClueBot]]. using [[WP:TWINKLE|TW]],,,,,,,,,,,,,,,,,
170175881,75.185.144.241,12,-33514,170428153,56,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170175881&oldid=170175674,[[WP:AES|←]]Replaced page with 'eat my balls',,,,,,,,,,,,,,,,,
170175900,VoABot II,33526,33514,170428162,9,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170175900&oldid=170175881,"BOT - Reverted edits by [[Special:contributions/75.185.144.241|75.185.144.241]] {[[User:VoABot_II/Help#Revert_reasons|vandalism]]} to revision #170175674 by ""Tiptoety"".",,,,,,,,,,,,,,,,,
170176117,Bibliomaniac15,33526,0,170428223,61,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170176117&oldid=170175900,Protected Ebola: Anon vandalism [edit=autoconfirmed:move=autoconfirmed] (expires 21:09, 15 November 2007 (UTC)),,,,,,,,,,,,,,,,
170176194,Bibliomaniac15,33542,16,170428239,16,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=170176194&oldid=170176117,sprotected,,,,,,,,,,,,,,,,,
171705543,Bidimensional,33532,-10,171021485,593246,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=171705543&oldid=170176194,/* Ebola hemorrhagic fever */,,,,,,,,,,,,,,,,,
171914735,DumbBOT,33516,-16,171104192,82707,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=171914735&oldid=171705543,removing a protection template from a non-protected page ([[User:DumbBOT/Protection|info]]),,,,,,,,,,,,,,,,,
172375725,129.120.2.1,33552,36,171300356,196164,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172375725&oldid=171914735,/* Overview */,,,,,,,,,,,,,,,,,
172376795,Lavateraguy,33516,-36,171300697,341,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172376795&oldid=172375725,[[WP:UNDO|Undid]] revision 172375725 by [[Special:Contributions/129.120.2.1|129.120.2.1]] ([[User talk:129.120.2.1|talk]]),,,,,,,,,,,,,,,,,
172504980,204.85.12.4,33549,33,171361320,60623,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172504980&oldid=172376795,/* Overview */,,,,,,,,,,,,,,,,,
172505097,204.85.12.4,33576,27,171361368,48,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172505097&oldid=172504980,/* Overview */,,,,,,,,,,,,,,,,,
172505282,204.85.12.4,33651,75,171361443,75,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172505282&oldid=172505097,/* Overview */,,,,,,,,,,,,,,,,,
172505539,204.85.12.4,32663,-988,171361536,93,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172505539&oldid=172505282,/* Reston ebolavirus */,,,,,,,,,,,,,,,,,
172505557,204.85.12.4,32702,39,171361541,5,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172505557&oldid=172505539,/* Size and shape */,,,,,,,,,,,,,,,,,
172505595,ClueBot,33516,814,171361555,14,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172505595&oldid=172505557,Reverting possible vandalism by [[Special:Contributions/204.85.12.4]] to version by Lavateraguy.  If this is a mistake, [[User:ClueBot/FalsePositives|report it]].  Thanks, [[User:ClueBot|ClueBot]]. (78319) (Bot),,,,,,,,,,,,,,,
172505701,204.85.12.4,32624,-892,171361583,28,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172505701&oldid=172505595,/* Size and shape */,,,,,,,,,,,,,,,,,
172505763,Antandrus,33516,892,171361601,18,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172505763&oldid=172505701,Reverted edits by [[Special:Contributions/204.85.12.4|204.85.12.4]] ([[User talk:204.85.12.4|talk]]) to last version by ClueBot,,,,,,,,,,,,,,,,,
172618658,71.72.83.85,33512,-4,171397393,35792,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172618658&oldid=172505763,,,,,,,,,,,,,,,,,,
172632261,71.131.200.13,33522,10,171402334,4941,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172632261&oldid=172618658,/* Overview */,,,,,,,,,,,,,,,,,
172632417,AlexiusHoratius,33512,-10,171402402,68,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172632417&oldid=172632261,[[WP:UNDO|Undid]] revision 172632261 by [[Special:Contributions/71.131.200.13|71.131.200.13]] ([[User talk:71.131.200.13|talk]]) rvv,,,,,,,,,,,,,,,,,
172655764,67.162.120.69,33513,1,171413106,10704,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172655764&oldid=172632417,/* Symptoms */,,,,,,,,,,,,,,,,,
172667163,Lavateraguy,33512,-1,171419859,6753,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172667163&oldid=172655764,[[WP:UNDO|Undid]] revision 172655764 by [[Special:Contributions/67.162.120.69|67.162.120.69]] ([[User talk:67.162.120.69|talk]]) conversion to Fahrenheit introduces a spurious precision,,,,,,,,,,,,,,,,,
172769372,198.245.141.35,33508,-4,171463126,43267,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172769372&oldid=172667163,/* Overview */,,,,,,,,,,,,,,,,,
172789283,Beforemath,33897,389,171469239,6113,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172789283&oldid=172769372,"Added source for mortality rate and adjusted rate from ""90",,,,,,,,,,,,,,,,,
172853456,98.200.105.181,33903,6,171493033,23794,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172853456&oldid=172789283,/* Cultural impact */,,,,,,,,,,,,,,,,,
172865603,Old Moonraker,33897,-6,171499374,6341,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=172865603&oldid=172853456,[[WP:UNDO|Undid]] revision 172853456 by [[Special:Contributions/98.200.105.181|98.200.105.181]] ([[User talk:98.200.105.181|talk]]),,,,,,,,,,,,,,,,,
173116264,199.216.99.98,33902,5,171619889,120515,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=173116264&oldid=172865603,,,,,,,,,,,,,,,,,,
173116357,Nn123645,33897,-5,171619934,45,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=173116357&oldid=173116264,Reverted 1 edit by [[Special:Contributions/199.216.99.98|199.216.99.98]] identified as [[WP:VAND|vandalism]] to last revision by [[User:Old Moonraker|Old Moonraker]]. using [[WP:TW|TW]],,,,,,,,,,,,,,,,,
173116991,199.216.99.98,33918,21,171620205,271,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=173116991&oldid=173116357,,,,,,,,,,,,,,,,,,
173117155,Nn123645,33897,-21,171620276,71,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=173117155&oldid=173116991,Reverted 1 edit by [[Special:Contributions/199.216.99.98|199.216.99.98]] identified as [[WP:VAND|vandalism]] to last revision by [[User:Nn123645|Nn123645]]. using [[WP:TW|TW]],,,,,,,,,,,,,,,,,
173509854,70.130.141.108,33899,2,171795998,175722,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=173509854&oldid=173117155,,,,,,,,,,,,,,,,,,
173509956,70.130.141.108,33897,-2,171796033,35,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=173509956&oldid=173509854,,,,,,,,,,,,,,,,,,
173572694,72.225.52.40,33971,74,171816980,20947,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=173572694&oldid=173509956,,,,,,,,,,,,,,,,,,
173807639,66.30.14.170,33979,8,171916941,99961,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=173807639&oldid=173572694,/* Transmission */ Added a link to connect this article to an orphaned article,,,,,,,,,,,,,,,,,
174248638,Beforemath,33927,-52,172078948,162007,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=174248638&oldid=173807639,Fixed spacing for a footnote and cleaned it up,,,,,,,,,,,,,,,,,
174455706,72.88.49.209,33923,-4,172157371,78423,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=174455706&oldid=174248638,/* Symptoms */,,,,,,,,,,,,,,,,,
174682325,206.169.44.5,33923,0,172242863,85492,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=174682325&oldid=174455706,/* 2007 outbreak in DRC */,,,,,,,,,,,,,,,,,
174841926,ThePrznKonection,34163,240,172308281,65418,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=174841926&oldid=174682325,/* Subtypes */ Add information and a new and current finding about Ebola,,,,,,,,,,,,,,,,,
174940616,Tijuana Brass,34796,633,172336266,27985,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=174940616&oldid=174841926,/* 2007 outbreak in DRC */ adding Uganda outbreak,,,,,,,,,,,,,,,,,
174941245,Giftlite,34854,58,172336493,227,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=174941245&oldid=174940616,/* See also */ partition list,,,,,,,,,,,,,,,,,
174943048,Tijuana Brass,34850,-4,172337097,604,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=174943048&oldid=174941245,rm self-lk,,,,,,,,,,,,,,,,,
174993736,Falco11 2011,35079,229,172358280,21183,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=174993736&oldid=174943048,/* Cultural impact */,,,,,,,,,,,,,,,,,
174993819,Falco11 2011,35090,11,172358328,48,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=174993819&oldid=174993736,/* Cultural impact */,,,,,,,,,,,,,,,,,
175049492,66.68.231.66,35646,556,172388528,30200,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175049492&oldid=174993819,Added Bundibugyo subtype of virus, contingent with WHO and CDC announcement of a new subtype.,,,,,,,,,,,,,,,,
175059746,71.112.159.122,35747,101,172392948,4420,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175059746&oldid=175049492,/* Cultural impact */ wikilinks,,,,,,,,,,,,,,,,,
175146274,71.229.215.33,35773,26,172421584,28636,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175146274&oldid=175059746,/* Overview */,,,,,,,,,,,,,,,,,
175146293,ClueBot,35747,-26,172421593,9,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175146293&oldid=175146274,Reverting possible vandalism by [[Special:Contributions/71.229.215.33]] to version by 71.112.159.122.  If this is a mistake, [[User:ClueBot/FalsePositives|report it]].  Thanks, [[User:ClueBot|ClueBot]]. (97710) (Bot),,,,,,,,,,,,,,,
175159843,129.59.43.127,35667,-80,172426515,4922,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175159843&oldid=175146293,"Removed from intro. the phrase """," as well as featuring as the gruesome antagonist in many forms of entertainment.""  This is unimportant. If anywhere"," it belongs in a section ""Ebola in Entertainment""",,,,,,,,,,,,,,,
175226863,SmackBot,35686,19,172456948,30433,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175226863&oldid=175159843,Date/fix the maintenance tags or gen fixes  using [[Project:AutoWikiBrowser|AWB]],,,,,,,,,,,,,,,,,
175235320,212.179.71.70,35688,2,172460988,4040,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175235320&oldid=175226863,/* Treatments */,,,,,,,,,,,,,,,,,
175235390,212.179.71.70,35690,2,172461022,34,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175235390&oldid=175235320,/* Zaïre ebolavirus */,,,,,,,,,,,,,,,,,
175333775,68.215.43.94,35662,-28,172501980,40958,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175333775&oldid=175235390,/* References */,,,,,,,,,,,,,,,,,
175333872,68.215.43.94,34458,-1204,172502004,24,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175333872&oldid=175333775,/* Tai (Ivory Coast) Ebolavirus */,,,,,,,,,,,,,,,,,
175334353,68.215.43.94,30714,-3744,172502140,136,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175334353&oldid=175333872,/* External links */,,,,,,,,,,,,,,,,,
175334411,Mike Rosoft,35690,4976,172502156,16,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175334411&oldid=175334353,Reverted edits by [[Special:Contributions/68.215.43.94|68.215.43.94]] ([[User talk:68.215.43.94|talk]]) to last version by 212.179.71.70,,,,,,,,,,,,,,,,,
175334814,68.215.43.94,31948,-3742,172502266,110,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175334814&oldid=175334411,/* External links */,,,,,,,,,,,,,,,,,
175334854,Oxymoron83,35690,3742,172502277,11,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175334854&oldid=175334814,Reverted edits by [[Special:Contributions/68.215.43.94|68.215.43.94]] ([[User talk:68.215.43.94|talk]]) to last version by Mike Rosoft,,,,,,,,,,,,,,,,,
175334913,68.215.43.94,35662,-28,172502294,17,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175334913&oldid=175334854,/* References */,,,,,,,,,,,,,,,,,
175334942,Oxymoron83,35690,28,172502303,9,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=175334942&oldid=175334913,Reverted edits by [[Special:Contributions/68.215.43.94|68.215.43.94]] ([[User talk:68.215.43.94|talk]]) to last version by Oxymoron83,,,,,,,,,,,,,,,,,
